0	1.00E+00	0.00E+00
2	9.45E-01	5.54E-02
4	8.97E-01	1.03E-01
6	8.57E-01	1.43E-01
8	8.23E-01	1.77E-01
10	7.93E-01	2.07E-01
12	7.69E-01	2.31E-01
14	7.47E-01	2.53E-01
16	7.29E-01	2.71E-01
18	7.14E-01	2.86E-01
20	7.01E-01	2.99E-01
22	6.90E-01	3.10E-01
24	6.80E-01	3.20E-01
26	6.72E-01	3.28E-01
28	6.65E-01	3.35E-01
30	6.59E-01	3.41E-01
32	6.54E-01	3.46E-01
34	6.50E-01	3.50E-01
36	6.46E-01	3.54E-01
38	6.43E-01	3.57E-01
40	6.40E-01	3.60E-01
42	6.38E-01	3.62E-01
44	6.36E-01	3.64E-01
46	6.34E-01	3.66E-01
48	6.33E-01	3.67E-01
50	6.32E-01	3.68E-01
52	6.31E-01	3.69E-01
54	6.30E-01	3.70E-01
56	6.29E-01	3.71E-01
58	6.29E-01	3.71E-01
60	6.28E-01	3.72E-01
62	6.28E-01	3.72E-01
64	6.27E-01	3.73E-01
66	6.27E-01	3.73E-01
68	6.27E-01	3.73E-01
70	6.26E-01	3.74E-01
72	6.26E-01	3.74E-01
74	6.26E-01	3.74E-01
76	6.26E-01	3.74E-01
78	6.26E-01	3.74E-01
80	6.26E-01	3.74E-01
82	6.26E-01	3.74E-01
84	6.25E-01	3.75E-01
86	6.25E-01	3.75E-01
88	6.25E-01	3.75E-01
90	6.25E-01	3.75E-01
92	6.25E-01	3.75E-01
94	6.25E-01	3.75E-01
96	6.25E-01	3.75E-01
98	6.25E-01	3.75E-01
100	6.25E-01	3.75E-01
